#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  27
# Band-Index    1
   2.75846     -8.770905     -6.178136
   2.75846     -8.747648     -6.178136
   2.75846     -8.723441     -6.178136
   2.75846     -8.699128     -6.178136
   2.75846     -8.675331     -6.178136
   2.75846     -8.652508     -6.178136
   2.75846     -8.631013     -6.178136
   2.75846     -8.611133     -6.178136
   2.75846     -8.593102     -6.178136
   2.75846     -8.577114     -6.178136
   2.75846     -8.563325     -6.178136
   2.75846     -8.551868     -6.178136
   2.75846     -8.542848     -6.178136
   2.75846     -8.536347     -6.178136
   2.75846     -8.532424     -6.178136
   2.75846     -8.531115     -6.178136
   2.75846    -10.202836    -10.147322
   2.71395    -10.182428    -10.131190
   2.66944    -10.130464    -10.087586
   2.62493    -10.060284    -10.024769
   2.58043     -9.978846     -9.947894
   2.53592     -9.887996     -9.857817
   2.49141     -9.785057     -9.750906
   2.44690     -9.664815     -9.623838
   2.40240     -9.528653     -9.482645
   2.35789     -9.385876     -9.337760
   2.31338     -9.245011     -9.196761
   2.26888     -9.111431     -9.064333
   2.22437     -8.988494     -8.943496
   2.17986     -8.878460     -8.836290
   2.13535     -8.782963     -8.744111
   2.09085     -8.703247     -8.667895
   2.04634     -8.640257     -8.608221
   2.00183     -8.594728     -8.565426
   1.95733     -8.567194     -8.539697
   1.91282     -8.557981     -8.531115
   1.91282     -8.557981     -8.531115
   1.86887     -8.566721     -8.539256
   1.82493     -8.592786     -8.563627
   1.78099     -8.635718     -8.604052
   1.73704     -8.694822     -8.660225
   1.69310     -8.769235     -8.731689
   1.64915     -8.858001     -8.817824
   1.60521     -8.960074     -8.917783
   1.56127     -9.074276     -9.030435
   1.51732     -9.199206     -9.154292
   1.47338     -9.333107     -9.287414
   1.42943     -9.473660     -9.427266
   1.38549     -9.617669     -9.570502
   1.34154     -9.760594     -9.712648
   1.29760     -9.895617     -9.847502
   1.25366    -10.012326     -9.966334
   1.20971    -10.098550    -10.058554
   1.16577    -10.150671    -10.117845
   1.12182    -10.176553    -10.148241
   1.07788    -10.184243    -10.157329
   1.07788    -10.184243    -10.157329
   1.03337    -10.178465    -10.149015
   0.98887    -10.155461    -10.118269
   0.94436    -10.099506    -10.053223
   0.89985    -10.002379     -9.953254
   0.85534     -9.877936     -9.830859
   0.81084     -9.742405     -9.698463
   0.76633     -9.605940     -9.564747
   0.72182     -9.474952     -9.435742
   0.67731     -9.353809     -9.315739
   0.63281     -9.245526     -9.207750
   0.58830     -9.151963     -9.113669
   0.54379     -9.073956     -9.034384
   0.49929     -9.011432     -8.969902
   0.45478     -8.963524     -8.919476
   0.41027     -8.928743     -8.881789
   0.36576     -8.905160     -8.855179
   0.32126     -8.890613     -8.837878
   0.27675     -8.882979     -8.828269
   0.23224     -8.880646     -8.825206
   0.23224     -8.880646     -8.825206
   0.22002     -8.875646     -8.821059
   0.20780     -8.861816     -8.809395
   0.19557     -8.841687     -8.792024
   0.18335     -8.817739     -8.770905
   0.17113     -8.791812     -8.747648
   0.15890     -8.765161     -8.723441
   0.14668     -8.738630     -8.699128
   0.13446     -8.712825     -8.675331
   0.12223     -8.688184     -8.652508
   0.11001     -8.665048     -8.631013
   0.09779     -8.643693     -8.611133
   0.08556     -8.624355     -8.593102
   0.07334     -8.607222     -8.577114
   0.06112     -8.592455     -8.563325
   0.04889     -8.580190     -8.551868
   0.03667     -8.570537     -8.542848
   0.02445     -8.563580     -8.536347
   0.01222     -8.559382     -8.532424
   0.00000     -8.557981     -8.531115
 
# Band-Index    7
   0.00000     -5.909563     -3.949238
   0.01222     -5.909533     -3.948164
   0.02445     -5.909533     -3.944961
   0.03667     -5.909570     -3.939685
   0.04889     -5.909570     -3.932426
   0.06112     -5.909571     -3.923314
   0.07334     -5.909591     -3.912518
   0.08556     -5.909575     -3.900241
   0.09779     -5.909572     -3.886737
   0.11001     -5.909588     -3.872291
   0.12223     -5.909588     -3.857233
   0.13446     -5.909589     -3.841934
   0.14668     -5.909600     -3.826809
   0.15890     -5.909633     -3.812314
   0.17113     -5.909635     -3.798906
   0.18335     -5.909660     -3.787072
   0.19557     -5.909699     -3.777279
   0.20780     -5.909656     -3.769937
